@timestamp,HUMIDITY1,TEMPERATURE1
2025-04-01T11:06:51Z,28.94,22.1
2025-04-01T11:07:52Z,28.98,22.1
2025-04-01T11:08:53Z,29.03,22.07
2025-04-01T11:10:53Z,28.98,22.11
2025-04-01T11:11:54Z,29.16,22.0
2025-04-01T11:16:57Z,29.12,22.01
2025-04-01T11:19:58Z,28.97,22.12
2025-04-01T11:20:58Z,28.89,22.2
2025-04-01T11:21:59Z,28.87,22.18
2025-04-01T11:22:59Z,29.06,22.02
2025-04-01T11:24:00Z,29.0,22.09
2025-04-01T11:27:01Z,28.45,22.49
2025-04-01T11:28:02Z,28.56,22.37
2025-04-01T11:34:05Z,28.73,22.28
2025-04-01T11:42:09Z,28.6,22.34
2025-04-01T11:44:10Z,28.93,22.09
2025-04-01T11:46:11Z,28.79,22.19
2025-04-01T11:49:12Z,28.85,22.17
2025-04-01T11:53:14Z,28.99,22.05
2025-04-01T12:11:23Z,28.8,22.19
2025-04-01T12:12:24Z,28.6,22.34
2025-04-01T12:15:25Z,28.95,22.09
2025-04-01T12:20:28Z,28.82,22.15
2025-04-01T12:25:30Z,29.37,21.79
2025-04-01T12:28:31Z,29.35,21.78
2025-04-01T12:35:35Z,27.67,23.13
2025-04-01T12:43:39Z,27.53,23.14
2025-04-01T12:45:40Z,28.07,22.79
2025-04-01T12:46:40Z,28.14,22.75
2025-04-01T12:48:41Z,28.0,22.83
2025-04-01T12:49:42Z,27.77,23.01
2025-04-01T12:51:43Z,28.03,22.81
2025-04-01T12:53:44Z,28.04,22.77
2025-04-01T12:57:46Z,28.34,22.58
2025-04-01T12:58:46Z,28.49,22.49
2025-04-01T13:03:49Z,28.88,22.15
2025-04-01T13:04:49Z,28.81,22.14
2025-04-01T13:08:51Z,29.41,21.71
2025-04-01T13:09:52Z,29.24,21.86
2025-04-01T13:10:52Z,29.22,21.86
2025-04-01T13:11:53Z,29.45,21.74
2025-04-01T13:14:54Z,28.99,22.02
2025-04-01T13:19:57Z,28.61,22.27
2025-04-01T13:23:59Z,28.73,22.11
2025-04-01T13:27:00Z,28.99,22.01
2025-04-01T13:33:03Z,28.25,22.63
2025-04-01T13:35:04Z,27.41,23.23
2025-04-01T13:38:06Z,26.55,23.91
2025-04-01T13:41:07Z,26.89,23.57
2025-04-01T13:43:08Z,27.45,23.18
