@timestamp,objId,rsctypeId,TEMPERATURE1,TEMPERATURE,HUMIDITY1,HUMIDITY
2025-03-27T00:02:45.348Z,24,FTH,20.47,25.1,39.19,27.18
2025-03-27T00:02:45.352Z,191,FTH,22.71,28.5,34.52,25.66
2025-03-27T00:02:56.406Z,22,FTH,17.09,24.38,47.9,28.99
2025-03-27T00:03:02.491Z,25,FTH,22.63,25.27,35.03,26.67
2025-03-27T00:03:02.495Z,197,FTH,20.3,22.29,38.36,35.21
2025-03-27T00:03:02.502Z,205,FTH,20.7,22.22,38.91,34.7
2025-03-27T00:03:02.509Z,207,FTH,21.22,21.84,37.74,36.28
2025-03-27T00:03:07.539Z,193,FTH,18.35,26.35,44.07,28.22
2025-03-27T00:03:07.543Z,195,FTH,20.48,28.03,39.44,26.07
2025-03-27T00:03:13.570Z,198,FTH,20.09,21.56,37.73,36.38
2025-03-27T00:03:13.574Z,200,FTH,20.32,23.08,38.57,33.44
2025-03-27T00:03:13.578Z,201,FTH,20.37,21.9,38.99,35.9
2025-03-27T00:03:14.584Z,196,FTH,20.21,27.26,39.26,27.0
2025-03-27T00:03:17.618Z,23,FTH,18.71,21.9,42.47,33.37
2025-03-27T00:03:18.599Z,202,FTH,20.53,22.08,38.85,35.59
2025-03-27T00:03:19.599Z,199,FTH,20.14,20.98,39.27,37.63
2025-03-27T00:03:23.679Z,204,FTH,20.63,30.9,38.09,22.09
2025-03-27T00:03:34.756Z,192,FTH,19.26,26.92,41.87,27.06
2025-03-27T00:03:35.742Z,194,FTH,18.33,27.22,44.08,27.11
2025-03-27T00:03:35.746Z,206,FTH,20.6,24.97,38.97,29.66
2025-03-27T00:03:40.795Z,20,FTH,21.15,31.81,37.23,17.65
2025-03-27T00:03:40.799Z,21,FTH,24.88,28.33,30.9,22.62
2025-03-27T00:03:40.803Z,203,FTH,19.5,22.22,41.12,35.05
2025-03-27T00:03:40.807Z,206,FTH,20.52,24.97,38.99,29.65
2025-03-27T00:03:40.811Z,208,FTH,21.47,25.59,37.12,28.67
2025-03-27T00:03:45.856Z,24,FTH,20.46,25.11,39.04,27.13
2025-03-27T00:03:45.860Z,191,FTH,22.68,28.5,34.49,25.56
2025-03-27T00:03:45.864Z,206,FTH,20.52,24.96,39.07,29.69
2025-03-27T00:03:51.886Z,206,FTH,20.5,24.99,39.07,29.69
2025-03-27T00:03:56.943Z,22,FTH,17.09,24.38,48.19,28.97
2025-03-27T00:03:56.947Z,206,FTH,20.46,24.96,39.14,29.7
2025-03-27T00:04:02.031Z,206,FTH,20.52,24.97,39.05,29.68
2025-03-27T00:04:02.034Z,206,FTH,20.52,24.97,39.05,29.68
2025-03-27T00:04:02.982Z,25,FTH,22.6,25.24,35.05,26.69
2025-03-27T00:04:02.986Z,197,FTH,19.94,22.13,39.12,35.42
2025-03-27T00:04:03.006Z,205,FTH,20.39,22.14,39.56,34.79
2025-03-27T00:04:03.009Z,207,FTH,21.21,21.76,37.85,36.35
2025-03-27T00:04:08.054Z,193,FTH,18.32,26.36,44.16,28.21
2025-03-27T00:04:08.058Z,195,FTH,20.43,28.02,39.48,26.13
2025-03-27T00:04:14.078Z,198,FTH,19.82,21.48,38.35,36.5
2025-03-27T00:04:14.082Z,200,FTH,20.06,23.05,39.0,33.53
2025-03-27T00:04:14.086Z,201,FTH,20.2,21.86,39.39,36.0
2025-03-27T00:04:15.096Z,196,FTH,20.2,27.26,39.41,27.04
2025-03-27T00:04:18.168Z,23,FTH,18.73,21.89,42.34,33.34
2025-03-27T00:04:19.108Z,202,FTH,20.36,22.01,39.12,35.76
2025-03-27T00:04:20.134Z,199,FTH,19.91,20.76,39.8,37.94
2025-03-27T00:04:24.202Z,204,FTH,20.31,30.5,38.68,22.47
2025-03-27T00:04:35.288Z,192,FTH,19.26,26.94,41.9,27.03
2025-03-27T00:04:36.252Z,194,FTH,18.28,27.2,44.08,27.13
2025-03-27T00:04:41.289Z,20,FTH,21.15,31.84,37.17,17.67
2025-03-27T00:04:41.293Z,21,FTH,24.74,28.43,31.34,22.56
2025-03-27T00:04:41.297Z,203,FTH,19.1,22.0,41.98,35.45
2025-03-27T00:04:41.300Z,208,FTH,21.41,25.58,37.17,28.68
2025-03-27T00:04:46.369Z,24,FTH,20.52,25.12,39.14,27.13
2025-03-27T00:04:46.373Z,191,FTH,22.68,28.48,34.57,25.7
2025-03-27T00:04:57.430Z,22,FTH,17.09,24.37,47.84,29.04
2025-03-27T00:05:02.519Z,206,FTH,20.24,24.91,39.61,29.76
2025-03-27T00:05:03.485Z,25,FTH,22.59,25.21,35.07,26.75
2025-03-27T00:05:03.489Z,197,FTH,19.66,22.07,39.75,35.53
2025-03-27T00:05:03.496Z,205,FTH,20.11,22.04,40.03,35.02
2025-03-27T00:05:03.499Z,207,FTH,21.12,21.75,37.97,36.42
2025-03-27T00:05:08.551Z,193,FTH,18.3,26.38,44.07,28.14
2025-03-27T00:05:08.555Z,195,FTH,20.41,28.04,39.43,26.03
2025-03-27T00:05:14.569Z,198,FTH,19.54,21.38,38.93,36.65
2025-03-27T00:05:14.572Z,200,FTH,19.89,23.01,39.41,33.49
2025-03-27T00:05:14.578Z,201,FTH,20.0,21.75,39.77,36.15
2025-03-27T00:05:15.583Z,196,FTH,20.25,27.24,39.26,26.96
2025-03-27T00:05:18.621Z,23,FTH,18.69,21.86,42.5,33.48
2025-03-27T00:05:19.622Z,202,FTH,20.22,21.94,39.36,35.82
2025-03-27T00:05:20.627Z,199,FTH,19.7,20.64,40.16,38.19
2025-03-27T00:05:24.689Z,204,FTH,20.04,30.22,39.22,22.79
2025-03-27T00:05:35.743Z,192,FTH,19.2,26.92,41.92,27.05
2025-03-27T00:05:36.734Z,194,FTH,18.31,27.2,44.16,27.14
2025-03-27T00:05:41.760Z,20,FTH,21.26,31.87,37.0,17.62
2025-03-27T00:05:41.763Z,21,FTH,24.77,28.44,31.12,22.51
2025-03-27T00:05:41.766Z,203,FTH,18.83,21.78,42.61,35.78
2025-03-27T00:05:41.770Z,208,FTH,21.41,25.57,37.24,28.73
2025-03-27T00:05:47.230Z,24,FTH,20.5,25.11,38.9,27.11
2025-03-27T00:05:47.241Z,191,FTH,22.68,28.52,34.46,25.5
2025-03-27T00:05:58.102Z,22,FTH,17.08,24.34,48.18,28.96
2025-03-27T00:06:03.148Z,206,FTH,20.12,24.76,39.88,29.92
2025-03-27T00:06:04.185Z,25,FTH,22.53,25.18,35.1,26.8
2025-03-27T00:06:04.189Z,197,FTH,19.4,21.95,40.23,35.66
2025-03-27T00:06:04.197Z,205,FTH,19.86,21.99,40.58,35.03
2025-03-27T00:06:04.201Z,207,FTH,21.05,21.69,38.05,36.47
2025-03-27T00:06:09.274Z,193,FTH,18.32,26.37,44.22,28.22
2025-03-27T00:06:09.299Z,195,FTH,20.4,28.02,39.48,26.13
2025-03-27T00:06:15.238Z,198,FTH,19.33,21.26,39.47,36.83
2025-03-27T00:06:15.242Z,200,FTH,19.71,23.01,39.8,33.55
2025-03-27T00:06:15.246Z,201,FTH,19.87,21.68,40.03,36.33
2025-03-27T00:06:16.241Z,196,FTH,20.22,27.29,39.36,27.06
2025-03-27T00:06:19.290Z,23,FTH,18.6,21.85,42.34,33.39
2025-03-27T00:06:20.272Z,202,FTH,20.13,21.86,39.62,35.96
2025-03-27T00:06:21.277Z,199,FTH,19.53,20.5,40.56,38.43
2025-03-27T00:06:25.348Z,204,FTH,19.84,29.88,39.66,23.16
2025-03-27T00:06:31.371Z,204,FTH,19.82,29.87,39.72,23.16
2025-03-27T00:06:36.416Z,192,FTH,19.18,26.9,42.03,26.99
2025-03-27T00:06:36.420Z,204,FTH,19.79,29.83,39.73,23.17
2025-03-27T00:06:37.407Z,194,FTH,18.29,27.17,44.1,27.19
2025-03-27T00:06:42.431Z,20,FTH,21.32,31.92,36.86,17.59
2025-03-27T00:06:42.435Z,21,FTH,24.74,28.45,31.32,22.4
2025-03-27T00:06:42.440Z,203,FTH,18.67,21.6,43.0,36.08
2025-03-27T00:06:42.443Z,204,FTH,19.77,29.82,39.77,23.23
2025-03-27T00:06:42.447Z,208,FTH,21.35,25.58,37.28,28.72
2025-03-27T00:06:47.493Z,24,FTH,20.5,25.11,39.12,27.14
2025-03-27T00:06:47.497Z,191,FTH,22.73,28.49,34.48,25.66
2025-03-27T00:06:47.501Z,204,FTH,19.77,29.78,39.83,23.26
2025-03-27T00:06:53.502Z,204,FTH,19.8,29.84,39.74,23.2
2025-03-27T00:06:53.505Z,204,FTH,19.8,29.84,39.74,23.2
2025-03-27T00:06:58.540Z,22,FTH,17.12,24.32,47.75,29.07
2025-03-27T00:07:03.636Z,206,FTH,19.98,24.58,40.16,30.21
2025-03-27T00:07:04.590Z,25,FTH,22.52,25.19,35.1,26.81
2025-03-27T00:07:04.594Z,197,FTH,19.24,21.86,40.55,35.78
2025-03-27T00:07:04.601Z,205,FTH,19.66,21.91,40.99,35.16
2025-03-27T00:07:04.614Z,207,FTH,21.0,21.68,38.13,36.57
2025-03-27T00:07:09.656Z,193,FTH,18.25,26.37,44.08,28.14
2025-03-27T00:07:09.660Z,195,FTH,20.41,28.01,39.46,26.07
2025-03-27T00:07:15.664Z,198,FTH,19.18,21.21,39.86,36.99
2025-03-27T00:07:15.669Z,200,FTH,19.56,22.96,40.03,33.61
2025-03-27T00:07:15.672Z,201,FTH,19.76,21.61,40.28,36.35
2025-03-27T00:07:16.673Z,196,FTH,20.22,27.29,39.23,26.97
2025-03-27T00:07:19.719Z,23,FTH,18.56,21.85,42.76,33.55
2025-03-27T00:07:20.707Z,202,FTH,20.03,21.78,39.79,36.08
2025-03-27T00:07:21.719Z,199,FTH,19.4,20.39,40.8,38.65
2025-03-27T00:07:37.000Z,192,FTH,19.26,26.9,41.81,27.05
2025-03-27T00:07:37.979Z,194,FTH,18.3,27.13,44.13,27.21
2025-03-27T00:07:43.007Z,20,FTH,21.34,31.88,36.78,17.53
2025-03-27T00:07:43.010Z,21,FTH,25.01,28.39,30.73,22.47
2025-03-27T00:07:43.014Z,203,FTH,18.49,21.44,43.31,36.32
2025-03-27T00:07:43.018Z,208,FTH,21.34,25.56,37.35,28.68
2025-03-27T00:07:48.107Z,24,FTH,20.5,25.1,38.98,27.09
2025-03-27T00:07:48.192Z,191,FTH,22.67,28.49,34.48,25.49
2025-03-27T00:07:54.107Z,204,FTH,19.59,29.51,40.23,23.49
2025-03-27T00:07:59.137Z,22,FTH,17.17,24.3,48.05,29.01
2025-03-27T00:08:04.270Z,206,FTH,19.84,24.41,40.31,30.42
2025-03-27T00:08:05.202Z,25,FTH,22.51,25.2,35.17,26.78
2025-03-27T00:08:05.206Z,197,FTH,19.07,21.81,40.92,35.92
2025-03-27T00:08:05.213Z,205,FTH,19.51,21.84,41.35,35.3
2025-03-27T00:08:05.217Z,207,FTH,20.95,21.61,38.22,36.62
2025-03-27T00:08:10.281Z,193,FTH,18.24,26.37,44.19,28.2
2025-03-27T00:08:10.285Z,195,FTH,20.44,27.98,39.48,26.16
2025-03-27T00:08:16.290Z,198,FTH,19.05,21.12,40.19,37.07
2025-03-27T00:08:16.294Z,200,FTH,19.46,22.92,40.27,33.64
2025-03-27T00:08:16.298Z,201,FTH,19.65,21.56,40.48,36.45
2025-03-27T00:08:17.292Z,196,FTH,20.22,27.26,39.26,26.95
2025-03-27T00:08:20.332Z,23,FTH,18.51,21.88,42.66,33.33
2025-03-27T00:08:21.324Z,202,FTH,19.95,21.71,39.96,36.16
2025-03-27T00:08:22.322Z,199,FTH,19.34,20.26,41.02,38.82
2025-03-27T00:08:37.485Z,192,FTH,19.27,26.9,41.88,27.05
2025-03-27T00:08:38.480Z,194,FTH,18.23,27.09,44.14,27.16
